"","down","ydstogo","yardline_100","touchdown"
"747",2,10,12,0
"748",NA,0,NA,NA
"749",1,1,1,1
"750",NA,0,15,0
"751",NA,0,35,0
"752",1,10,65,0
"753",2,4,59,0
"754",1,10,53,0
"755",2,6,49,0
"756",3,3,46,0
"757",1,10,39,0
"758",2,9,38,0
"759",1,10,29,0
"760",2,6,25,0
"761",3,5,24,0
"762",1,9,9,0
"763",2,8,8,1
"764",NA,0,15,0
"765",NA,0,35,0
"766",1,10,69,0
"767",2,7,66,0
"768",NA,0,50,0
"769",1,10,50,0
"770",1,10,35,0
"771",2,7,32,0
"772",3,2,27,0
"773",1,10,23,0
"774",2,10,23,0
"775",3,10,23,0
"776",4,10,23,0
"777",NA,0,35,0
"778",1,10,81,0
"779",2,6,77,0
"780",3,6,77,0
"781",1,10,26,0
"782",2,10,26,0
"783",3,2,18,0
"784",1,10,15,0
"785",2,5,10,1
"786",NA,0,15,0
"787",NA,0,35,0
"788",1,10,88,0
"789",1,10,79,0
"790",1,10,59,0
"791",NA,0,NA,0
"792",2,5,54,0
"793",3,5,54,0
"794",NA,0,NA,0
"795",NA,0,NA,0
"796",1,10,45,0
"797",1,10,35,0
"798",NA,0,NA,0
"799",2,10,35,0
"800",NA,0,NA,NA
"801",NA,0,35,0
"802",1,10,72,0
"803",2,5,67,0
"804",1,10,61,0
"805",2,7,58,0
"806",1,10,46,0
"807",2,1,37,0
"808",1,10,36,0
"809",2,10,36,0
"810",3,18,44,0
"811",4,14,40,0
"812",NA,0,35,0
"813",1,10,71,0
"814",2,4,65,0
"815",3,1,62,0
"816",1,10,60,0
"817",2,10,60,0
"818",1,10,11,0
"819",1,22,23,0
"820",2,22,23,0
"821",3,22,23,0
"822",1,10,11,0
"823",NA,0,NA,NA
"824",NA,0,NA,NA
"825",1,10,84,0
"826",2,11,85,0
"827",3,11,85,0
"828",4,3,77,0
"829",1,10,74,0
"830",2,6,70,0
"831",3,1,65,0
"832",1,10,51,0
"833",2,7,48,0
"834",NA,0,NA,NA
"835",3,10,51,0
"836",4,10,51,0
"837",1,10,87,0
"838",2,2,79,0
"839",3,1,78,0
"840",1,10,77,0
"841",1,5,72,0
"842",2,1,68,0
"843",3,1,68,0
"844",1,10,67,0
"845",2,3,60,0
"846",1,10,55,0
"847",NA,0,NA,0
"848",2,14,59,0
"849",3,14,59,0
"850",4,5,50,0
