"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","REC GRD","KEY","REC SNP","VS PRS","TGT","REC","REC YDS","YPR","REC TD","REC 1D","DP","FUM","FUML","CBL","CTT","CTC","YAC","YAC/REC","ADOT"
"","10760","43415","116856","46b16198-116f-4913-85db-2bc21462bd66","Demarcus Robinson","49ers","05","WR","67.1","35","323","130","40","30","391","13.0","2","20","2","0","0","33","9","7","92","3.1","13.1"
"","10799","43454","175616","01d8aee3-e1c4-4988-970a-8c0c2d08bd83","Tyreek Hill","Dolphins","10","WR","81","25","112","50","31","22","279","12.7","1","17","1","0","0","24","3","3","66","3.0","13.1"
"","11028","43584","","e0a31d02-9d1c-4dab-adb4-a5d9bbee8b36","Kalif Raymond","Lions","11","WR","68.5","25","223","94","30","24","289","12.0","1","14","1","0","0","25","3","3","164","6.8","6.3"
"","11254","43808","61596","e81fb788-1478-4936-ae12-f6ed7ec23476","Robbie Chosen","Commanders","12","WR","62.1","9","48","32","11","5","53","10.6","0","2","0","0","0","5","4","1","6","1.2","16.7"
"","11347","43971","","971fc9e5-bebb-4a2c-a822-8c52f92a3d07","C.J. Ham","Vikings","30","FB","51.9","1","58","4","3","2","11","5.5","0","1","0","0","0","2","0","0","7","3.5","5.7"
"","11763","44820","159105","f96db0af-5e25-42d1-a07a-49b4e065b364","Christian McCaffrey","49ers","23","HB","91.7","105","585","36","136","114","1035","9.1","9","56","5","1","0","121","15","9","788","6.9","2.9"
"","11775","44832","196084","09fab9a8-b0af-4580-bf55-5c9167912f89","Garett Bolles","Broncos","72","T","60","0","1","0","1","0","0","0.0","0","0","0","0","0","0","0","0","0","0.0","8.0"
"","11778","44835","119127","e21365af-8d66-416e-b0a5-8816d18fcfd9","Evan Engram","Broncos","01","TE","57.6","59","420","117","81","55","507","9.2","1","20","4","0","0","62","8","4","318","5.8","4.5"
"","11784","44841","173871","8f86fcea-90e8-49ea-bc78-5c7659313e57","David Njoku","Browns","85","TE","61.6","34","296","85","48","35","308","8.8","4","11","2","1","1","37","12","9","182","5.2","5.6"
"","11792","44849","126624","a28f7368-0306-4d20-855f-285a1a09c09c","Zay Jones","Cardinals","17","WR","57.7","13","190","69","17","12","183","15.3","0","7","1","0","0","13","3","1","33","2.8","13.9"
"","11795","44852","159811","66a21b6d-97e5-4732-8bb0-062145d6bbc6","Curtis Samuel","Bills","01","WR","59.5","10","117","38","12","8","83","10.4","1","5","0","0","0","8","1","1","29","3.6","14.8"
