"","season","team","made_playoffs","home_wins","Off_epa_play","Def_epa_play","ST_epa_play","away_wins"
"1",2025,"ARI",FALSE,1,-0.0223575553655994,-0.081688723973987,-0.108080307752841,2
"2",2025,"ATL",FALSE,4,-0.0209895415858435,-0.0010108939908111,-0.0702226350758958,4
"3",2025,"BAL",FALSE,3,0.0330550075685327,-0.0150207227533136,-0.00585974510517754,5
"4",2025,"BUF",TRUE,7,0.140667495780339,0.00978340309349766,-0.0687621679829884,6
"5",2025,"CAR",TRUE,5,-0.0356396552657763,-0.0537009555017698,0.0141764936786412,3
"6",2025,"CHI",TRUE,7,0.053884331554457,-0.0365857507449075,0.0332885239589258,5
"7",2025,"CIN",FALSE,3,0.0022422938541848,-0.109495262783783,0.0477392391306025,3
"8",2025,"CLE",FALSE,3,-0.182262223467796,0.0957488399162033,-0.0574148911403253,2
"9",2025,"DAL",FALSE,4,0.0954689225759206,-0.143849916846501,0.00876830144761559,3
"10",2025,"DEN",TRUE,9,0.0199770074108597,0.0602972760052568,-0.0140301283090607,6
"11",2025,"DET",FALSE,5,0.0634205234915805,0.000485520313480142,0.00635444831770746,4
"12",2025,"GB",TRUE,5,0.111428336685828,-0.0366444828773036,-0.0783912041474578,5
"13",2025,"HOU",TRUE,7,-0.0372610823264742,0.137090070358264,0.100733477739188,6
"14",2025,"IND",FALSE,6,0.0745675793902501,-0.00925606370949103,-0.00183902364624343,2
"15",2025,"JAX",TRUE,7,0.0357143992176165,0.0694239782445005,0.0573922982555214,6
"16",2025,"KC",FALSE,5,0.0328052765925177,0.0137134425269826,-0.0448183881559472,1
"17",2025,"LA",TRUE,7,0.139546630324678,0.0564667895471669,-0.0631718968544268,7
"18",2025,"LAC",TRUE,6,-0.03129689810461,0.074764193715284,-0.0361099299190422,5
"19",2025,"LV",FALSE,2,-0.198574086570116,-0.0151318154764976,-0.0691456261036958,1
"20",2025,"MIA",FALSE,5,-0.0329335159015615,-0.076178715930686,0.0611400995648641,2
"21",2025,"MIN",FALSE,4,-0.106784755028489,0.0940676610565624,0.0307638620954022,5
"22",2025,"NE",TRUE,8,0.0801150055474467,0.0894303418285107,-0.0103500766984178,9
"23",2025,"NO",FALSE,3,-0.0892170871729649,0.0566293665532483,-0.153927884709556,3
"24",2025,"NYG",FALSE,3,0.0307586713765338,-0.0874716835318552,-0.0172025496518125,1
"25",2025,"NYJ",FALSE,2,-0.13227030981295,-0.138320743291866,0.0996395531976596,1
"26",2025,"PHI",TRUE,5,0.0154927949499791,0.0484812117233583,-0.017092881855406,6
"27",2025,"PIT",TRUE,6,-0.0081533931452108,-0.0133113439824984,0.0125699263274049,4
"28",2025,"SEA",TRUE,8,0.045199846872028,0.128289860739375,0.134503726303356,9
"29",2025,"SF",TRUE,5,0.0598822158056314,-0.0549471038548853,0.1093143940656,8
"30",2025,"TB",FALSE,4,-0.00226511526316114,0.000404765880458526,-0.0582939017858359,4
"31",2025,"TEN",FALSE,1,-0.158367617789955,-0.0895910858146046,0.0467807015317404,2
"32",2025,"WAS",FALSE,2,0.0123969088613432,-0.140504801115303,0.061530121077726,3
"33",2024,"ARI",FALSE,6,0.058770844532688,-0.0373202955203543,-0.0180343304426338,2
"34",2024,"ATL",FALSE,4,0.0314231256704261,-0.0282702721921789,-0.096585399088121,4
"35",2024,"BAL",TRUE,7,0.181374450783571,0.0181853848943555,-0.0829396717940653,6
"36",2024,"BUF",TRUE,10,0.170038419278742,0.00228459705882289,-0.00266493606997874,5
"37",2024,"CAR",FALSE,3,-0.060585888209991,-0.14209525455762,-0.0153274615644278,2
"38",2024,"CHI",FALSE,4,-0.080369125030549,0.00288391009422901,0.00650016754650819,1
"39",2024,"CIN",FALSE,3,0.0958029410303681,-0.0454380337356476,-0.0300721856553715,6
"40",2024,"CLE",FALSE,2,-0.183704057298275,-0.00766670248708643,0.00756948589551662,1
"41",2024,"DAL",FALSE,2,-0.100924725123971,-0.0519589421580713,0.0693828555760718,5
"42",2024,"DEN",TRUE,6,-0.00222532133791459,0.0825400818637747,0.0320508122614291,4
"43",2024,"DET",TRUE,7,0.141866444368379,0.0354751373382902,0.0667495985798255,8
"44",2024,"GB",TRUE,6,0.0668887036839679,0.0721777084145548,-0.0497998791721616,5
"45",2024,"HOU",TRUE,6,-0.0464450456089064,0.0757252715405444,-0.0332642718654929,5
"46",2024,"IND",FALSE,5,-0.0523126739533546,0.00196173269572907,-0.0303824260735966,3
"47",2024,"JAX",FALSE,3,-0.0324662263846864,-0.110262699887758,0.0562316178967694,1
"48",2024,"KC",TRUE,10,0.0498972240008796,-0.00382125097542917,0.0253452607459872,7
"49",2024,"LA",TRUE,6,0.0172782252424069,-0.0167003272675478,-0.00978440268544975,5
"50",2024,"LAC",TRUE,5,0.0138460657552653,0.0684315956839599,0.0166757807953059,6
"51",2024,"LV",FALSE,2,-0.135311464618654,-0.00573523700422924,0.00182458625095281,2
"52",2024,"MIA",FALSE,5,-0.0450686111367917,0.0344930660442541,-0.00164426228388162,3
"53",2024,"MIN",TRUE,8,0.00331675313899084,0.0913456142654435,0.00132677311067051,6
"54",2024,"NE",FALSE,2,-0.0911968905403514,-0.0769356869568001,0.0742334617174825,2
"55",2024,"NO",FALSE,3,-0.0642683484267172,-0.0220038938038513,0.0205711994810634,2
"56",2024,"NYG",FALSE,1,-0.104163267913477,-0.0609540650532832,0.039381672983885,2
"57",2024,"NYJ",FALSE,3,-0.0101397442637457,-0.0431543459979014,-0.0338637826084592,2
"58",2024,"PHI",TRUE,12,0.111228058359616,0.0995701731534894,-0.0203635828007442,6
"59",2024,"PIT",TRUE,5,-0.0317203405359602,0.0110530079846795,0.127197529736791,5
"60",2024,"SEA",FALSE,3,-0.0283109348390661,0.0288477295427793,-0.0139678882206341,7
"61",2024,"SF",FALSE,4,0.0473726537093179,-0.0466397060357657,-0.133159823977858,2
"62",2024,"TB",TRUE,5,0.112876770686235,-0.0166816451169879,0.0494588871503727,5
"63",2024,"TEN",FALSE,1,-0.115186260904997,-0.0360624428502635,-0.032890995819345,2
"64",2024,"WAS",TRUE,7,0.126737351041239,-0.0586084934904803,0.00702567312209403,7
"65",2023,"ARI",FALSE,2,-0.065487570007559,-0.0843731123326994,0.0538579109630771,2
"66",2023,"ATL",FALSE,5,-0.0916569720246443,0.0578869092015298,-0.0583889861259308,2
"67",2023,"BAL",TRUE,7,0.0559361249456839,0.128833727397117,0.0336252940727145,7
"68",2023,"BUF",TRUE,8,0.100333014930021,0.0598480287809067,-0.0714044536278234,4
"69",2023,"CAR",FALSE,2,-0.161437952529325,-0.0281821370858874,-0.0176519669163257,0
"70",2023,"CHI",FALSE,5,-0.0621884207388305,0.039293085975705,0.0204169798231025,2
"71",2023,"CIN",FALSE,6,0.000118870770244798,-0.0232176774595049,0.0175754196389607,3
"72",2023,"CLE",TRUE,8,-0.138794006636984,0.137612070745784,0.067847529894136,3
"73",2023,"DAL",TRUE,8,0.107651301840608,0.065378619296229,0.029305646006578,4
"74",2023,"DEN",FALSE,5,-0.0460184463530284,-0.0153338452082916,-0.00300250032325493,3
"75",2023,"DET",TRUE,8,0.0671125178213441,-0.00599177033452148,0.0123164862212744,6
"76",2023,"GB",TRUE,5,0.0777437963453737,-0.0201856283196073,-0.0161034565996435,5
"77",2023,"HOU",TRUE,7,-0.0300393242350295,0.0361137353503365,0.0426844038215399,4
"78",2023,"IND",FALSE,4,-0.0297218241301198,0.0224333518589829,-0.0368085387010528,5
"79",2023,"JAX",FALSE,4,-0.043567354641448,0.0474319600718882,0.0123269850785985,5
"80",2023,"KC",TRUE,7,0.023496441428962,0.0734532337800692,0.0364778511302142,8
"81",2023,"LA",TRUE,5,0.0498452635141825,0.0106773294327944,-0.0931799356177426,5
"82",2023,"LAC",FALSE,2,-0.073083696834113,-0.00522420949812795,0.0522072980260179,3
"83",2023,"LV",FALSE,6,-0.0836057319551396,0.0565169961771294,0.0321191859188992,2
"84",2023,"MIA",TRUE,7,0.0666529893518324,0.0307678664295605,-0.0147826214266839,4
"85",2023,"MIN",FALSE,2,-0.0350585851534668,0.0263461504949082,-0.0524493526564799,5
"86",2023,"NE",FALSE,1,-0.203757664492075,0.057346361704514,-0.0692001883687526,3
"87",2023,"NO",FALSE,5,-0.0220499461640278,0.0977104059454369,0.0314487963151103,4
"88",2023,"NYG",FALSE,4,-0.169052587010809,0.0178688382957581,0.00796774847278372,2
"89",2023,"NYJ",FALSE,4,-0.233155365387101,0.110495984164516,0.0395434341377673,3
"90",2023,"PHI",TRUE,6,0.0410852326383685,-0.0531167666469754,0.0210846487163071,5
"91",2023,"PIT",TRUE,5,-0.0736758053779676,0.0496860941762565,-0.00641216670721056,5
"92",2023,"SEA",FALSE,5,0.0147882046836445,-0.0559197594416778,0.005583599722281,4
"93",2023,"SF",TRUE,7,0.155012683119403,0.0461602847298912,-0.0362746573582708,7
"94",2023,"TB",TRUE,5,0.00786323162633221,0.0254985413041301,0.0389847694443842,5
"95",2023,"TEN",FALSE,5,-0.0365085900805167,-0.0278047586463388,-0.0297983258105914,1
"96",2023,"WAS",FALSE,1,-0.087979037826929,-0.0847584188642469,-0.0625156418685024,3
"97",2022,"ARI",FALSE,1,-0.0896964571058094,-0.00689016340382985,-0.0512118716147931,3
"98",2022,"ATL",FALSE,6,0.00322372382637931,-0.0537981610033559,0.0438427655649219,1
"99",2022,"BAL",TRUE,5,-0.00805777769228183,0.00619829264237892,0.0940551790009203,5
"100",2022,"BUF",TRUE,8,0.0809414474311105,0.0406532176985779,0.0989229450461978,6
"101",2022,"CAR",FALSE,5,-0.051303380540578,0.00106782855500491,0.0668597014317472,2
"102",2022,"CHI",FALSE,2,-0.0541294175442554,-0.110727982911277,0.0252287387933946,1
"103",2022,"CIN",TRUE,7,0.083829899090137,0.0456308150014265,-0.0194887760477172,7
"104",2022,"CLE",FALSE,4,0.00866166542344063,-0.019137560264061,-0.00669541639404909,3
"105",2022,"DAL",TRUE,8,0.0298379997739575,0.0854430331546154,0.00798486389800207,5
"106",2022,"DEN",FALSE,4,-0.0896983800880279,0.0497560011038616,-0.101804899135263,1
"107",2022,"DET",FALSE,5,0.068840258283838,-0.067075073462509,0.0582674293411666,4
"108",2022,"GB",FALSE,5,0.0121063182944495,-0.0182105880980525,-0.00159499014563593,3
"109",2022,"HOU",FALSE,0,-0.171214039936532,-0.00067033615899839,0.0647725789588588,3
"110",2022,"IND",FALSE,2,-0.15844518173594,0.0200897046328633,0.0148655469506921,3
"111",2022,"JAX",TRUE,6,0.0320983504174593,0.0081012974193239,-0.00311716043205868,4
"112",2022,"KC",TRUE,9,0.179198019099431,-0.00202968235216502,-0.0958539160227205,8
"113",2022,"LA",FALSE,4,-0.0831216107166948,-0.00587152848319363,-0.0201321301173919,1
"114",2022,"LAC",TRUE,5,0.000657256812384172,-0.00306395148439295,0.00373542711924385,5
"115",2022,"LV",FALSE,4,-0.00700110454259227,-0.0627467965148844,0.0936882366484276,2
"116",2022,"MIA",TRUE,6,0.0258225383965584,-0.00537777382632362,-0.0280950495303195,3
"117",2022,"MIN",TRUE,8,0.00423064875694507,-0.015035075377982,-0.0400249284742443,5
"118",2022,"NE",FALSE,4,-0.0643718320390589,0.09021087009988,-0.0218231512624983,4
"119",2022,"NO",FALSE,4,-0.0439431799254975,0.0447504256392258,-0.0536321979561393,3
"120",2022,"NYG",TRUE,5,0.0282336445456589,-0.0528935070059319,-0.0163214315548867,5
"121",2022,"NYJ",FALSE,3,-0.0918682979406625,0.0524602204361284,0.013295856454445,4
"122",2022,"PHI",TRUE,9,0.10571262073808,0.0664056890692695,-0.0128521666669206,7
"123",2022,"PIT",FALSE,4,0.00760115067549913,-0.00825113088695878,-0.084384962482096,5
"124",2022,"SEA",TRUE,5,-0.000345858276392084,-0.0374151833488847,0.077281344147571,4
"125",2022,"SF",TRUE,10,0.0654245897847083,0.0951253548725195,0.0171097739051839,5
"126",2022,"TB",TRUE,5,-0.0417033298437197,0.0098187306706051,-0.0762589593430256,3
"127",2022,"TEN",FALSE,3,-0.0752976977838339,0.00453626486011939,0.00444322412135968,4
"128",2022,"WAS",FALSE,4,-0.0694343380200052,0.0627083671017152,-0.0254428721311045,5
"129",2021,"ARI",TRUE,3,0.0429804731357983,0.0518396387223323,-0.0522276400619296,8
"130",2021,"ATL",FALSE,2,-0.0812572099647666,-0.0671005987956427,-0.00581169836824011,5
"131",2021,"BAL",FALSE,5,-0.00361408466212861,-0.0567452094863488,0.0985791984601126,3
"132",2021,"BUF",TRUE,7,0.12286347014629,0.0782509409805853,0.00721349143746685,5
"133",2021,"CAR",FALSE,2,-0.136011557160915,0.0452132789646198,-0.043417851642545,3
"134",2021,"CHI",FALSE,3,-0.0864927395746422,-0.0227169229053542,-0.00273997098529849,3
"135",2021,"CIN",TRUE,6,0.0401754368946586,0.0277818545150071,0.0486217212696868,7
"136",2021,"CLE",FALSE,6,0.00245007603562222,-0.00935570779120958,-0.0627509670089717,2
"137",2021,"DAL",TRUE,5,0.0608357839262496,0.0840563373399704,0.0263150471465384,7
"138",2021,"DEN",FALSE,4,0.0169798650837825,0.00111656876863638,-0.0332615854116787,3
"139",2021,"DET",FALSE,3,-0.0692779648989756,-0.100464721732102,0.0198440377423191,1
"140",2021,"GB",TRUE,8,0.11851740074068,0.00147711451517323,-0.084796885603816,5
"141",2021,"HOU",FALSE,2,-0.134131644902621,-0.0715715916812234,0.0359545701836331,2
"142",2021,"IND",FALSE,4,0.0543741284748074,0.00780212001586452,0.0831769620302822,5
"143",2021,"JAX",FALSE,3,-0.0926068934185417,-0.0997803943930641,-0.0861932682827623,0
"144",2021,"KC",TRUE,9,0.142510653831867,-0.0429880048289735,0.0517503708686955,5
"145",2021,"LA",TRUE,7,0.0610481803589398,0.05758117156174,-0.00856472304590025,9
"146",2021,"LAC",FALSE,5,0.0849441049984191,-0.0421707457960475,-0.0681617482871221,4
"147",2021,"LV",TRUE,5,-0.00934939660350025,-0.0600706874338339,0.0141259285934115,5
"148",2021,"MIA",FALSE,6,-0.0548925622543965,0.0303070783287417,-0.0465380470289682,3
"149",2021,"MIN",FALSE,5,0.0105205916486851,0.00811716694318598,-0.0113600497771891,3
"150",2021,"NE",TRUE,4,0.0631462734679256,0.0307494308913644,0.0945865661046171,6
"151",2021,"NO",FALSE,3,-0.0679242944011837,0.100501367607568,0.00263706555189415,6
"152",2021,"NYG",FALSE,3,-0.1391855187049,-0.0218278785502183,0.00375568390577563,1
"153",2021,"NYJ",FALSE,3,-0.0771333036988846,-0.129890678931801,-0.0190519642052517,1
"154",2021,"PHI",TRUE,3,0.0501726945604206,-0.0079607519035138,-0.00591498320736242,6
"155",2021,"PIT",TRUE,6,-0.0610399407962359,-0.00238848246928069,0.00875087061571209,3
"156",2021,"SEA",FALSE,3,0.0339155459307834,-0.0291816405055431,0.0615139108649986,4
"157",2021,"SF",TRUE,4,0.0500626226556147,0.0153634672779165,-0.0138972101096695,8
"158",2021,"TB",TRUE,8,0.113525360207573,0.0672314163829275,-0.0406654544581116,6
"159",2021,"TEN",TRUE,7,0.020381223689009,0.0315211372542132,0.00880446134612207,5
"160",2021,"WAS",FALSE,3,-0.0401173032078172,-0.067095221532885,-0.0090919069121397,4
